user_id,key,press_time,release_time,hold_duration,latency,previous_key
user1,j,1741485892.039236,1741485892.166765,0.12752890586853027,,
user1,backspace,1741485892.914103,1741485893.049672,0.13556885719299316,0.747338056564331,j
user1,a,1741485893.825619,1741485894.1203,0.2946810722351074,0.775947093963623,backspace
user1,l,1741485893.838648,1741485894.058915,0.22026681900024414,-0.28165197372436523,a
user1,k,1741485893.851742,1741485894.155895,0.3041529655456543,-0.20717287063598633,l
user1,s,1741485893.919243,1741485894.089683,0.1704399585723877,-0.23665189743041992,k
user1,d,1741485893.919392,1741485894.164597,0.24520492553710938,-0.17029094696044922,s
user1,;,1741485893.923455,1741485894.006299,0.08284401893615723,-0.24114203453063965,d
user1,f,1741485894.072098,1741485894.246396,0.17429804801940918,0.06579899787902832,;
user1,a,1741485894.21577,1741485894.383312,0.1675419807434082,-0.03062605857849121,f
user1,;,1741485894.228806,1741485894.374172,0.14536595344543457,-0.15450596809387207,a
user1,l,1741485894.250771,1741485894.38321,0.13243889808654785,-0.12340092658996582,;
user1,k,1741485894.26846,1741485894.435299,0.1668388843536377,-0.11474990844726562,l
user1,j,1741485894.281774,1741485894.431092,0.14931797981262207,-0.15352487564086914,k
user1,f,1741485894.342919,1741485894.508065,0.1651458740234375,-0.08817291259765625,j
user1,d,1741485894.351833,1741485894.448412,0.09657883644104004,-0.15623188018798828,f
user1,backspace,1741485894.654486,1741485895.8678,1.2133140563964844,0.20607399940490723,d
user1,ctrl,1741485897.459673,1741485898.222487,0.7628140449523926,1.5918729305267334,backspace
user1,shift,1741485897.459782,1741485898.218265,0.7584831714630127,-0.7627050876617432,ctrl
user1,alt,1741485898.32502,1741485899.027659,0.7026388645172119,0.10675501823425293,shift
user1,enter,1741485898.52677,1741485898.650156,0.12338590621948242,-0.5008888244628906,alt
user1,z,1741485899.362121,1741485899.509312,0.14719080924987793,0.7119650840759277,enter
user1,space,1741485899.544908,1741485899.688613,0.14370489120483398,0.03559613227844238,z
user1,m,1741485899.825158,1741485899.919221,0.09406280517578125,0.13654518127441406,space
user1,i,1741485899.960432,1741485900.05394,0.09350800514221191,0.04121112823486328,m
user1,n,1741485900.041205,1741485900.188658,0.14745306968688965,-0.012735128402709961,i
user1,i,1741485900.14746,1741485900.252618,0.10515809059143066,-0.041198015213012695,n
user1,/,1741485900.624964,1741485900.784167,0.15920305252075195,0.3723459243774414,i
user1,t,1741485900.939161,1741485901.045429,0.10626792907714844,0.15499401092529297,/
user1,r,1741485901.124088,1741485901.266684,0.14259600639343262,0.0786590576171875,t
user1,tab,1741485901.279818,1741485901.518529,0.23871088027954102,0.013134002685546875,r
user1,y,1741485902.291659,1741485902.416237,0.12457799911499023,0.7731301784515381,tab
user1,enter,1741485902.588148,1741485902.677548,0.08939981460571289,0.17191100120544434,y
user1,z,1741485903.463563,1741485903.607754,0.14419102668762207,0.7860150337219238,enter
user1,space,1741485903.599095,1741485903.739158,0.14006280899047852,-0.008658885955810547,z
user1,m,1741485903.767759,1741485903.87136,0.10360097885131836,0.02860116958618164,space
user1,i,1741485903.901254,1741485904.037868,0.13661408424377441,0.029893875122070312,m
user1,n,1741485903.999025,1741485904.129221,0.13019585609436035,-0.03884291648864746,i
user1,i,1741485904.0862,1741485904.222799,0.13659906387329102,-0.04302096366882324,n
user1,/,1741485904.393763,1741485904.512569,0.1188058853149414,0.17096400260925293,i
user1,t,1741485905.099865,1741485905.22256,0.1226949691772461,0.5872960090637207,/
user1,r,1741485905.340623,1741485905.485082,0.14445900917053223,0.11806297302246094,t
user1,y,1741485905.509656,1741485905.607228,0.09757208824157715,0.02457404136657715,r
user1,1,1741485906.09685,1741485906.279309,0.18245911598205566,0.4896218776702881,y
user1,enter,1741485906.30594,1741485906.429024,0.12308406829833984,0.026630878448486328,1
user1,z,1741485907.197479,1741485907.355304,0.15782499313354492,0.7684550285339355,enter
user1,space,1741485907.368207,1741485907.521517,0.15331006050109863,0.012902975082397461,z
user1,m,1741485907.57327,1741485907.675342,0.10207200050354004,0.05175304412841797,space
user1,i,1741485907.679476,1741485907.992218,0.3127419948577881,0.004133939743041992,m
user1,n,1741485907.7947,1741485907.926105,0.13140511512756348,-0.19751811027526855,i
user1,i,1741485908.311643,1741485908.430313,0.11867022514343262,0.38553786277770996,n
user1,enter,1741485908.499357,1741485908.634919,0.13556194305419922,0.06904387474060059,i
user1,l,1741485908.728503,1741485908.87724,0.14873695373535156,0.09358406066894531,enter
user1,s,1741485908.966721,1741485909.099388,0.13266682624816895,0.08948111534118652,l
user1,enter,1741485909.187755,1741485909.315556,0.12780094146728516,0.08836722373962402,s
user1,c,1741485909.51437,1741485909.620279,0.10590910911560059,0.19881391525268555,enter
user1,d,1741485909.723657,1741485909.837958,0.11430120468139648,0.1033778190612793,c
user1,space,1741485909.861666,1741485909.998222,0.13655614852905273,0.023707866668701172,d
user1,t,1741485910.001075,1741485910.115777,0.11470198631286621,0.002852916717529297,space
user1,r,1741485910.194165,1741485910.336159,0.14199399948120117,0.07838797569274902,t
user1,tab,1741485910.36069,1741485910.576756,0.2160658836364746,0.024531126022338867,r
user1,enter,1741485910.692068,1741485910.814969,0.12290096282958984,0.11531209945678711,tab
user1,l,1741485910.942274,1741485911.112112,0.16983795166015625,0.1273050308227539,enter
user1,s,1741485911.090421,1741485911.1808,0.09037899971008301,-0.021691083908081055,l
user1,enter,1741485911.675691,1741485911.769098,0.09340715408325195,0.4948909282684326,s
user1,t,1741485913.508577,1741485913.627108,0.1185309886932373,1.7394790649414062,enter
